Job Posting ID,Job Posting Date,Job Title,Job Title Full,Job Title Additional Info,Job Position Type,Job Position Level,Years of Experience,Job Skills,Job Location,Minimum Pay,Maximum Pay,Pay Rate,Number of Applicants,Company Name,Company Industry,Company Size
2700272290,2017-01-07,Compensation Analyst,Senior Sales Compensation Analyst,,Full-time,Mid-Senior level,5,"excel, oracle, sap","Oklahoma, United States",,,,1,Blackbaud,Computer Software,"1,001-5,000 employees"
2677255610,2017-01-07,Data Analyst,Senior Business Data Analyst,,Full-time,Mid-Senior level,6,sql,United States,129000,126000,yr,33,Insight Global,Staffing & Recruiting,"1,001-5,000 employees"
2496509713,2017-01-07,Software Engineer,Software Engineer,Frontend,Full-time,Entry level,2,"graphql, cloud, agile, jira, bitbucket, git, scrum, programming","Boston, MA",,,,26,Collibra,Computer Software,"501-1,000 employees"
2742903425,2017-01-07,Business Analyst,Remote Business Analyst,,Contract,Associate,4,"excel, database, microsoft, sharepoint","North Chicago, IL",,,,17,Dice,Internet,"1,001-5,000 employees"
2692495558,2017-01-07,Software Engineer,Software Engineer,Retail Services,Full-time,Entry level,2,"cloud, agile, server, powershell, scrum, programming, oracle, microsoft, mysql, etl, postgresql, sql, kanban, vba",United States,,,,7,Cotiviti,Information Technology & Services,"5,001-10,000 employees"
2745613834,2017-01-08,Data Engineer,Data Engineer,,Full-time,Mid-Senior level,6,"r, data_lake, github, microsoft, dax, sas, python, tableau, programming, jira, hadoop, machine_learning, powerbi, azure","Irvine, CA",,,,14,KORE1,Staffing & Recruiting,51-200 employees
2690941618,2017-01-08,Data Scientist,Data Scientist,"Remote, Full-time",Contract,Mid-Senior level,4,,"Gresham, OR",,,,,Toptal,Internet,"1,001-5,000 employees"
2676397282,2017-01-08,Software Engineer,"Staff Software Engineer, Backend",,Full-time,Mid-Senior level,4,,"Palo Alto, CA",100000,150000,yr,1,Affirm,Financial Services,"1,001-5,000 employees"
2734084443,2017-01-08,Marketing Analyst,Marketing Analyst,,Full-time,Associate,3,"python, php, spark, tableau, sql, excel, powerbi","Baltimore, MD",49000,79000,yr,,Brave Thinking Institute,Professional Training & Coaching,11-50 employees
2682986418,2017-01-08,Data Scientist,Data Scientist,"Remote, Full-time",Contract,Mid-Senior level,6,,"Mountain View, CA",,,,2,Toptal,Internet,"1,001-5,000 employees"
2693767021,2017-01-08,Senior Analyst,"Senior Analyst, Product",Engineering BizOps,Full-time,Mid-Senior level,4,"saas, slack, sql, excel",United States,,,,9,Slack,Computer Software,"1,001-5,000 employees"
2744666145,2017-01-08,Data Analyst,"Epic Clarity, Senior Data Analyst",,Full-time,Mid-Senior level,7,"cloud, power_bi, tableau, sql, bi, machine_learning",United States,,,,58,Sud Recruiting,Staffing & Recruiting,1-10 employees
2690732245,2017-01-08,Software Engineer,Software Engineer Ii,Front End Developer,Full-time,Mid-Senior level,5,"agile/scrum, javascript, agile, html5, node.js, git, saas, css, mongodb, ci/cd, html, machine_learning","Chicago, IL",,,,29,Wonderlic,Human Resources,51-200 employees
2418215890,2017-01-08,Software Engineer,Software Engineer,Backend - Boundary,Full-time,Entry level,2,"cloud, golang, programming","New Orleans, LA",,,,3,HashiCorp,Computer Software,"1,001-5,000 employees"
2747895395,2017-01-09,Software Engineer,"Content Software Engineer, Cs Assessment Specialist",,Full-time,Entry level,2,"python, git, programming, c, github, java, xml, c++",United States,,,,6,Wiley,Publishing,"1,001-5,000 employees"
2696302614,2017-01-09,Sales Engineer,"Sales Engineer, Central",,Full-time,Entry level,0,"microsoft, cloud","Chicago, IL",,,,1,Lookout,Computer & Network Security,201-500 employees
2707841581,2017-01-09,Software Engineer,"Senior Software Engineer, Devops",Remote,Full-time,Mid-Senior level,10,"cloud, ruby, agile, python, asp.net, powershell, devops, c, github, microsoft, ci/cd, shell, aws, kanban, azure, unix","San Jose, CA",,,,1,Icertis,Information Technology & Services,"1,001-5,000 employees"
2689080365,2017-01-09,Software Developer,Software Developer Inventory || Us,,Full-time,Entry level,1,"oracle, database, git, backend, microsoft, frontend, ci/cd, cloud, java, css, aws, html, coding, programming, postgresql, aurora, asp.net, docker, c",United States,,,,1,Enterprise Solutions Inc.,Information Technology & Services,"501-1,000 employees"
2748685701,2017-01-09,Software Engineer,"Software Engineer Ii- Admin Panel, Internal Tooling",,Internship,Entry level,1,"ios, ruby",United States,,,,17,Housecall Pro,Computer Software,201-500 employees
2701998800,2017-01-09,Developer,Swift Developer,"Full-time, Remote",Contract,Mid-Senior level,5,,"Gilbert, AZ",,,,,Toptal,Internet,"1,001-5,000 employees"
2671714552,2017-01-09,Software Engineer,Software Engineer,,Full-time,Mid-Senior level,8,"scrum, cloud, javascript, ruby, aws, agile, python, programming, linux, go","Ellicott City, MD",88000,114000,yr,7,Huntress,Information Technology & Services,51-200 employees
2678416614,2017-01-10,Software Engineer,"Senior Software Engineer, Enterprise",,Full-time,Mid-Senior level,3,"data_lake, python, devops, spark, backend, ci/cd, java, aws, mysql, redshift, scala","Raleigh, NC",,,,,Teladoc Health,Hospital & Health Care,"1,001-5,000 employees"
2689886094,2017-01-10,Data Engineer,Senior Data Engineer,Full-time,Contract,Mid-Senior level,4,"cloud, aws, azure","Allen, TX",,,,,Toptal,Internet,"1,001-5,000 employees"
2702492018,2017-01-10,Business Analyst,Business Analyst Senior-Technical,,Full-time,Associate,4,"cloud, splunk","Reston, VA",,,,,Leidos,Information Technology & Services,"10,001+ employees"
2674147468,2017-01-10,Business Analyst,It Governance Business Analyst,,Full-time,Associate,4,"excel, microsoft, powerpoint","United, LA",,,,,Blackbaud,Computer Software,"1,001-5,000 employees"
2693776608,2017-01-10,Data Engineer,Senior Data Engineer,Full-time,Contract,Mid-Senior level,5,"cloud, aws, azure","St Louis, MO",,,,,Toptal,Internet,"1,001-5,000 employees"
2698187892,2017-01-10,Business Analyst,Business Analyst,,Contract,Mid-Senior level,5,"excel, spreadsheets, word, powerpoint, sharepoint","California, United States",,,,9,Aditi Consulting,Information Technology & Services,"501-1,000 employees"
2686203928,2017-01-10,Data Analyst,Senior Data Analyst,"(Remote, US)",Full-time,Associate,5,"r, excel, microsoft, tableau, etl",United States,,,,,,Information Technology & Services,51-200 employees
2669972802,2017-01-10,Software Engineer,Software Engineer,"- C&O (Remote – CA, TX, WA, NV)",Full-time,Entry level,2,"scrum, backend, cloud, agile, kanban, devops","Nevada, United States",,,,11,MGM Resorts International,Hospitality,"10,001+ employees"
2713200914,2017-01-10,Quality Engineer,Data Quality Engineer,US Remote,Full-time,Entry level,2,"bi, slack, warehousing, snowflake, sql","Salt Lake City, UT",,,,1,Degreed,Information Technology & Services,201-500 employees
2707293521,2017-01-11,Developer,Servicenow Developer- Ticketing,,Contract,Mid-Senior level,5,"javascript, sql, js","Philadelphia, PA",,,,14,"The Brixton Group, Inc.",Information Technology & Services,51-200 employees
2683509481,2017-01-11,Business Analyst,Business Analyst,,Contract,Mid-Senior level,2,agile,"Pittsburgh, PA",,,,26,"Infomatics, Inc",Information Technology & Services,201-500 employees
2704706180,2017-01-11,Data Engineer,Remote Data Engineer,,Full-time,Entry level,2,"warehousing, cloud, aws, python, snowflake",United States,,,,1,Dice,Internet,"1,001-5,000 employees"
2554017973,2017-01-11,Software Engineer,Senior Software Engineer,Backend - Vault Developer Experience,Full-time,Associate,3,"microsoft, cloud, java, javascript, aws, python, programming, azure, go, c","Boston, MA",,,,,HashiCorp,Computer Software,"1,001-5,000 employees"
2675023063,2017-01-11,Ux Researcher,Ux Researcher,,Full-time,Mid-Senior level,8,,"Illinois, United States",,,,3,Kraken Digital Asset Exchange,Financial Services,"1,001-5,000 employees"
2717468986,2017-01-11,Software Engineer,Software Engineer,IAM Federations (remote),Full-time,Mid-Senior level,8,"javascript, node.js, mongodb, java, postgres","Las Vegas, NV",,,,1,Auth0,Information Technology & Services,"501-1,000 employees"
2702972706,2017-01-11,Business Analyst,Lead Business Analyst,,Full-time,Associate,4,"microsoft, sql, vba","Columbia, SC",,,,9,Stryker,Medical Device,"10,001+ employees"
2739254173,2017-01-11,Ux Researcher,Ux Researcher,,Contract,Mid-Senior level,5,excel,"North Charleston, SC",,,,,Toptal,Internet,"1,001-5,000 employees"
2737585646,2017-01-11,Solutions Engineer,Solutions Engineer,,Full-time,Entry level,1,"cloud, power_bi, linux, bi, qlik, tableau, etl, cognos, sql, excel",United States,,,,1,OmniSci,Information Technology & Services,51-200 employees
2715134465,2017-01-11,Software Engineer,"Intern, Software Engineer",,Full-time,Entry level,0,"javascript, python, c, java, html, c++, coding","Boston, MA",,,,12,Autodesk,Computer Software,"10,001+ employees"
2653654307,2017-01-12,Software Engineer,Senior Software Engineer,Growth,Full-time,Mid-Senior level,4,"node, docker, frontend, vue, redis, aws, postgres","Houston, TX",,,,,Lob,Computer Software,51-200 employees
2591533104,2017-01-12,Software Engineer,Software Engineer,,Full-time,Associate,3,"cloud, javascript, agile, python, server, back-end, frontend, backend, aws, sql, ai, excel, splunk","Portland, OR",,,,22,Momentive.ai,Internet,"1,001-5,000 employees"
2728727787,2017-01-12,Software Engineer,Optical Software Engineer,,Full-time,Mid-Senior level,7,"r, c++, java, python, programming, matlab",United States,,,,4,W3Global,Staffing & Recruiting,201-500 employees
2691338334,2017-01-12,Data Analyst,Data Analyst,- Remote Nationwide,Full-time,Associate,6,"database, sql, go, excel","Woburn, MA",,,,16,Optum,Hospital & Health Care,"10,001+ employees"
2686301029,2017-01-12,Software Engineer,Remote Front End Software Engineer,HOT Series A Startup! $130k-180k + Benefits,Full-time,Entry level,2,"backend, aws, agile, jira","Columbus, OH",,,,1,jobfuture.ai,Staffing & Recruiting,1-10 employees
2682982847,2017-01-12,Data Scientist,Data Scientist,"Remote, Full-time",Contract,Mid-Senior level,7,,"Everett, WA",,,,,Toptal,Internet,"1,001-5,000 employees"
2718023033,2017-01-12,Software Engineer,Software Engineer,Remote OK,Full-time,Entry level,1,"cloud, javascript, agile, asp.net, server, git, scrum, json, css, devops, c, microsoft, html, sql, apache, azure, coding, powerbi","Richland, WA",,,,,Pacific Northwest National Laboratory,Research,"1,001-5,000 employees"
2749967765,2017-01-12,Data Engineer,Tip: Senior Data Engineer,,Contract,Mid-Senior level,5,"saas, agile/scrum, aws, agile, python, postgresql, sql","Columbia, SC",,,,1,Upwork,Internet,"501-1,000 employees"
2741476532,2017-01-13,Data Engineer,Full Time Remote Data Engineering Opportunity,,Full-time,Entry level,3,"github, back-end, scrum, agile, programming, etl, jira, sql, devops, spark",United States,,,,,Dice,Internet,"1,001-5,000 employees"
2718978242,2017-01-13,Software Engineer,Support Software Engineer,,Full-time,Mid-Senior level,5,"redis, saas, aws, ruby, postgres","Los Angeles, CA",,,,,Recruiting from Scratch,Staffing & Recruiting,11-50 employees
2746215151,2017-01-13,Data Analyst,Data Analyst,,Full-time,Mid-Senior level,7,excel,United States,,,,35,Businessolver,Information Technology & Services,"1,001-5,000 employees"
2642448603,2017-01-13,Software Engineer,Senior Software Engineer,,Full-time,Mid-Senior level,6,"scrum, cloud, java, css, javascript, html, programming, apache, server, azure, c","Missouri, United States",,,,,Blackbaud,Computer Software,"1,001-5,000 employees"
2735172561,2017-01-13,Analytics Engineer,Senior Analytics Engineer,,Full-time,Associate,2,"warehousing, pandas, ci/cd, airflow, python, redshift, etl, bigquery, looker, snowflake, sql",United States,,,,2,Electric,Information Technology & Services,51-200 employees
2748317481,2017-01-13,Business Analyst,"Principal, Business Analyst",REMOTE - 96326,Full-time,Associate,4,"database, sql","Anchorage, AK",,,,,Altimeter Solutions,Government Relations,1-10 employees
2675370359,2017-01-13,Product Manager,"Lead Product Manager, Ml Credit",,Full-time,Mid-Senior level,7,"ml, machine_learning","Richmond, VA",,,,,Affirm,Financial Services,"1,001-5,000 employees"
2683712387,2017-01-13,Software Engineer,"Senior Software Engineer, Backend",,Full-time,Mid-Senior level,6,"spark, nosql","Detroit, MI",,,,,Affirm,Financial Services,"1,001-5,000 employees"
2686809403,2017-01-14,Ux Researcher,Senior Ux Researcher,,Full-time,Mid-Senior level,6,go,"Texas, United States",,,,1,Upwork,Internet,"501-1,000 employees"
2681704000,2017-01-14,Software Engineer,"Software Engineer, Foundation Platform",,Full-time,Entry level,2,"backend, frontend, golang, kotlin, fullstack, aws, programming",United States,,,,25,Brex,Financial Services,"501-1,000 employees"
2675048839,2017-01-14,Data Scientist,"Data Scientist, Experience Innovation",,Full-time,Mid-Senior level,8,"database, cloud, hadoop, r, t-sql, sas, redshift, tableau, snowflake, sql, ai, machine_learning, azure, spss, powerbi","Maryland, United States",,,,4,Genesys,Computer Software,"1,001-5,000 employees"
